measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Finland,Male,1 to 4,Breast cancer,Number,2019,0,0,0
Deaths,Finland,Female,1 to 4,Breast cancer,Number,2019,0,0,0
Deaths,Finland,Male,1 to 4,Breast cancer,Rate,2019,0,0,0
Deaths,Finland,Female,1 to 4,Breast cancer,Rate,2019,0,0,0
Deaths,Finland,Male,5 to 9,Breast cancer,Number,2019,0,0,0
Deaths,Finland,Female,5 to 9,Breast cancer,Number,2019,0,0,0
Deaths,Finland,Male,5 to 9,Breast cancer,Rate,2019,0,0,0
Deaths,Finland,Female,5 to 9,Breast cancer,Rate,2019,0,0,0
Deaths,Finland,Male,10 to 14,Breast cancer,Number,2019,0,0,0
Deaths,Finland,Female,10 to 14,Breast cancer,Number,2019,0,0,0
Deaths,Finland,Male,10 to 14,Breast cancer,Rate,2019,0,0,0
Deaths,Finland,Female,10 to 14,Breast cancer,Rate,2019,0,0,0
Deaths,Finland,Male,15 to 19,Breast cancer,Number,2019,0.01487636,0.017070325,0.012369877
Deaths,Finland,Female,15 to 19,Breast cancer,Number,2019,0.036157188,0.05608929,0.021114339
Deaths,Finland,Male,15 to 19,Breast cancer,Rate,2019,0.009773452,0.01121484,0.008126746
Deaths,Finland,Female,15 to 19,Breast cancer,Rate,2019,0.025058997,0.038873082,0.014633443
Deaths,Finland,Male,20 to 24,Breast cancer,Number,2019,0.015783291,0.017728646,0.013735509
Deaths,Finland,Female,20 to 24,Breast cancer,Number,2019,0.184571216,0.255838167,0.12852544
Deaths,Finland,Male,20 to 24,Breast cancer,Rate,2019,0.009825164,0.011036156,0.008550412
Deaths,Finland,Female,20 to 24,Breast cancer,Rate,2019,0.121237865,0.168050435,0.08442351
Deaths,Finland,Male,25 to 29,Breast cancer,Number,2019,0.01725327,0.019301861,0.014577376
Deaths,Finland,Female,25 to 29,Breast cancer,Number,2019,1.012573599,1.356286637,0.718464491
Deaths,Finland,Male,25 to 29,Breast cancer,Rate,2019,0.009475575,0.01060067,0.008005962
Deaths,Finland,Female,25 to 29,Breast cancer,Rate,2019,0.586671671,0.785814432,0.416268767
Deaths,Finland,Male,30 to 34,Breast cancer,Number,2019,0.017030822,0.018975638,0.01489498
Deaths,Finland,Female,30 to 34,Breast cancer,Number,2019,4.48398945,6.001685257,3.309417763
Deaths,Finland,Male,30 to 34,Breast cancer,Rate,2019,0.009482329,0.010565154,0.008293147
Deaths,Finland,Female,30 to 34,Breast cancer,Rate,2019,2.652763769,3.550644662,1.957877831
Deaths,Finland,Male,35 to 39,Breast cancer,Number,2019,0.03588284,0.067219197,0.017885664
Deaths,Finland,Female,35 to 39,Breast cancer,Number,2019,8.991526497,11.45178581,6.890015345
Deaths,Finland,Male,35 to 39,Breast cancer,Rate,2019,0.019294735,0.036144758,0.009617387
Deaths,Finland,Female,35 to 39,Breast cancer,Rate,2019,5.157995298,6.569324731,3.952461995
Deaths,Finland,Male,40 to 44,Breast cancer,Number,2019,0.060976648,0.113593317,0.028953946
Deaths,Finland,Female,40 to 44,Breast cancer,Number,2019,16.12902361,19.77503906,12.82998871
Deaths,Finland,Male,40 to 44,Breast cancer,Rate,2019,0.034207583,0.063725261,0.016243013
Deaths,Finland,Female,40 to 44,Breast cancer,Rate,2019,9.557289487,11.7177442,7.602438881
Deaths,Finland,Male,45 to 49,Breast cancer,Number,2019,0.139992973,0.244819053,0.072411731
Deaths,Finland,Female,45 to 49,Breast cancer,Number,2019,28.95564513,34.71383233,23.54796717
Deaths,Finland,Male,45 to 49,Breast cancer,Rate,2019,0.087459451,0.152948677,0.045238629
Deaths,Finland,Female,45 to 49,Breast cancer,Rate,2019,18.74703485,22.47511398,15.24588933
Deaths,Finland,Male,50 to 54,Breast cancer,Number,2019,0.277032031,0.482095816,0.139525154
Deaths,Finland,Female,50 to 54,Breast cancer,Number,2019,48.83958384,58.77203588,40.19864633
Deaths,Finland,Male,50 to 54,Breast cancer,Rate,2019,0.154660651,0.269143074,0.077893704
Deaths,Finland,Female,50 to 54,Breast cancer,Rate,2019,27.6078096,33.22237924,22.7233012
Deaths,Finland,Male,55 to 59,Breast cancer,Number,2019,0.438528777,0.70057011,0.255637458
Deaths,Finland,Female,55 to 59,Breast cancer,Number,2019,71.47698854,85.30223433,59.11011641
Deaths,Finland,Male,55 to 59,Breast cancer,Rate,2019,0.238575269,0.381135084,0.139075879
Deaths,Finland,Female,55 to 59,Breast cancer,Rate,2019,38.55802757,46.01601118,31.88675887
Deaths,Finland,Male,60 to 64,Breast cancer,Number,2019,0.584149744,0.955599325,0.326924529
Deaths,Finland,Female,60 to 64,Breast cancer,Number,2019,92.23301264,111.5211864,75.33907617
Deaths,Finland,Male,60 to 64,Breast cancer,Rate,2019,0.331596323,0.542452044,0.185580792
Deaths,Finland,Female,60 to 64,Breast cancer,Rate,2019,50.24441693,60.75175064,41.04135652
Deaths,Finland,Male,65 to 69,Breast cancer,Number,2019,0.655844848,1.093254181,0.356367895
Deaths,Finland,Female,65 to 69,Breast cancer,Number,2019,118.7773226,142.1370579,97.45998973
Deaths,Finland,Male,65 to 69,Breast cancer,Rate,2019,0.383780764,0.639739607,0.20853582
Deaths,Finland,Female,65 to 69,Breast cancer,Rate,2019,63.93843863,76.51310327,52.46320961
Deaths,Finland,Male,70 to 74,Breast cancer,Number,2019,1.225620683,2.005559807,0.662004062
Deaths,Finland,Female,70 to 74,Breast cancer,Number,2019,148.437714,179.7100605,121.7477086
Deaths,Finland,Male,70 to 74,Breast cancer,Rate,2019,0.749041274,1.225703102,0.404585508
Deaths,Finland,Female,70 to 74,Breast cancer,Rate,2019,79.86958728,96.69623693,65.50854882
Deaths,Finland,Male,75 to 79,Breast cancer,Number,2019,0.880133193,1.522819811,0.468421065
Deaths,Finland,Female,75 to 79,Breast cancer,Number,2019,139.5393356,169.5080425,113.8510501
Deaths,Finland,Male,75 to 79,Breast cancer,Rate,2019,0.936828067,1.620914142,0.49859499
Deaths,Finland,Female,75 to 79,Breast cancer,Rate,2019,118.0016582,143.3447423,96.27831927
Deaths,Finland,Male,All Ages,Breast cancer,Number,2019,6.138010646,7.64515442,4.936417135
Deaths,Finland,Female,All Ages,Breast cancer,Number,2019,1039.393967,1144.728679,925.0617926
Deaths,Finland,Male,All Ages,Breast cancer,Rate,2019,0.224826495,0.280031002,0.180813855
Deaths,Finland,Female,All Ages,Breast cancer,Rate,2019,37.06846169,40.82506972,32.99097234
Deaths,Finland,Male,80 to 84,Breast cancer,Number,2019,0.898909514,1.687881375,0.419885431
Deaths,Finland,Female,80 to 84,Breast cancer,Number,2019,136.8459833,171.2262987,105.4425518
Deaths,Finland,Male,80 to 84,Breast cancer,Rate,2019,1.383230796,2.597290896,0.646114486
Deaths,Finland,Female,80 to 84,Breast cancer,Rate,2019,142.6462238,178.4837547,109.9117525
