measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Finland,Male,1 to 4,Appendicitis,Number,2019,29.81350939,49.84334153,15.59200801
Incidence,Finland,Female,1 to 4,Appendicitis,Number,2019,21.43577431,35.2231432,12.78042391
Incidence,Finland,Male,1 to 4,Appendicitis,Rate,2019,27.54938513,46.05809381,14.40790576
Incidence,Finland,Female,1 to 4,Appendicitis,Rate,2019,20.73724817,34.075329,12.3639491
Incidence,Finland,Male,5 to 9,Appendicitis,Number,2019,260.5283827,429.3513174,149.2349609
Incidence,Finland,Female,5 to 9,Appendicitis,Number,2019,188.4824188,294.5754616,118.3222581
Incidence,Finland,Male,5 to 9,Appendicitis,Rate,2019,167.2048156,275.5538844,95.77768019
Incidence,Finland,Female,5 to 9,Appendicitis,Rate,2019,126.4953147,197.697037,79.40905775
Incidence,Finland,Male,10 to 14,Appendicitis,Number,2019,646.5298205,972.4951515,413.6715708
Incidence,Finland,Female,10 to 14,Appendicitis,Number,2019,499.2111867,709.8306503,335.7292398
Incidence,Finland,Male,10 to 14,Appendicitis,Rate,2019,410.5031617,617.469329,262.6537591
Incidence,Finland,Female,10 to 14,Appendicitis,Rate,2019,331.0894215,470.7775499,222.6640803
Incidence,Finland,Male,15 to 19,Appendicitis,Number,2019,799.740337,1246.025896,515.9000086
Incidence,Finland,Female,15 to 19,Appendicitis,Number,2019,711.7114709,982.5683887,497.1092768
Incidence,Finland,Male,15 to 19,Appendicitis,Rate,2019,525.4123792,818.6124923,338.9353249
Incidence,Finland,Female,15 to 19,Appendicitis,Rate,2019,493.2567018,680.9760171,344.5251234
Incidence,Finland,Male,20 to 24,Appendicitis,Number,2019,811.1180706,1219.630432,512.0068764
Incidence,Finland,Female,20 to 24,Appendicitis,Number,2019,797.0655216,1110.448083,535.0125327
Incidence,Finland,Male,20 to 24,Appendicitis,Rate,2019,504.9243859,759.2250365,318.7264186
Incidence,Finland,Female,20 to 24,Appendicitis,Rate,2019,523.562256,729.4114321,351.4295388
Incidence,Finland,Male,25 to 29,Appendicitis,Number,2019,821.9049205,1239.050794,516.0103658
Incidence,Finland,Female,25 to 29,Appendicitis,Number,2019,772.8827018,1100.653158,515.4892139
Incidence,Finland,Male,25 to 29,Appendicitis,Rate,2019,451.3939558,680.4923846,283.395262
Incidence,Finland,Female,25 to 29,Appendicitis,Rate,2019,447.7979541,637.7037953,298.6675919
Incidence,Finland,Male,30 to 34,Appendicitis,Number,2019,731.4992245,1066.129983,478.4173007
Incidence,Finland,Female,30 to 34,Appendicitis,Number,2019,579.4910451,810.9777917,392.0874301
Incidence,Finland,Male,30 to 34,Appendicitis,Rate,2019,407.2802074,593.594123,266.3706138
Incidence,Finland,Female,30 to 34,Appendicitis,Rate,2019,342.8315044,479.780902,231.9620375
Incidence,Finland,Male,35 to 39,Appendicitis,Number,2019,657.7572876,975.487656,420.6587823
Incidence,Finland,Female,35 to 39,Appendicitis,Number,2019,455.1687826,637.0012014,306.7783194
Incidence,Finland,Male,35 to 39,Appendicitis,Rate,2019,353.6858397,524.5341667,226.1944603
Incidence,Finland,Female,35 to 39,Appendicitis,Rate,2019,261.1078821,365.4161729,175.9835918
Incidence,Finland,Male,40 to 44,Appendicitis,Number,2019,484.5552978,708.0676381,325.4245359
Incidence,Finland,Female,40 to 44,Appendicitis,Number,2019,378.4200306,517.7092885,272.0520849
Incidence,Finland,Male,40 to 44,Appendicitis,Rate,2019,271.8330072,397.2222701,182.5614756
Incidence,Finland,Female,40 to 44,Appendicitis,Rate,2019,224.2336466,306.769812,161.2050793
Incidence,Finland,Male,45 to 49,Appendicitis,Number,2019,350.3518173,502.3170955,216.3422032
Incidence,Finland,Female,45 to 49,Appendicitis,Number,2019,325.3923677,459.3785957,209.9531191
Incidence,Finland,Male,45 to 49,Appendicitis,Rate,2019,218.879397,313.8184463,135.1580002
Incidence,Finland,Female,45 to 49,Appendicitis,Rate,2019,210.6719443,297.4199506,135.9319893
Incidence,Finland,Male,50 to 54,Appendicitis,Number,2019,325.5443861,471.6081321,205.1579272
Incidence,Finland,Female,50 to 54,Appendicitis,Number,2019,331.5058992,456.7369332,216.6914034
Incidence,Finland,Male,50 to 54,Appendicitis,Rate,2019,181.7439893,263.2880399,114.5349812
Incidence,Finland,Female,50 to 54,Appendicitis,Rate,2019,187.3920911,258.1820994,122.4902945
Incidence,Finland,Male,55 to 59,Appendicitis,Number,2019,278.5092856,407.1130711,169.710301
Incidence,Finland,Female,55 to 59,Appendicitis,Number,2019,295.2568212,414.6580827,200.8375006
Incidence,Finland,Male,55 to 59,Appendicitis,Rate,2019,151.5189676,221.4840058,92.32844624
Incidence,Finland,Female,55 to 59,Appendicitis,Rate,2019,159.275326,223.6859458,108.3411325
Incidence,Finland,Male,60 to 64,Appendicitis,Number,2019,227.7170979,335.8460671,137.7353611
Incidence,Finland,Female,60 to 64,Appendicitis,Number,2019,241.6280954,345.2003798,161.7926159
Incidence,Finland,Male,60 to 64,Appendicitis,Rate,2019,129.2650611,190.6451592,78.18635509
Incidence,Finland,Female,60 to 64,Appendicitis,Rate,2019,131.6281711,188.0497157,88.13737529
Incidence,Finland,Male,65 to 69,Appendicitis,Number,2019,203.1336986,298.7014956,132.9821549
Incidence,Finland,Female,65 to 69,Appendicitis,Number,2019,202.9747256,298.5112568,133.1921
Incidence,Finland,Male,65 to 69,Appendicitis,Rate,2019,118.8677571,174.79117,77.81717462
Incidence,Finland,Female,65 to 69,Appendicitis,Rate,2019,109.2623301,160.6901322,71.69798681
Incidence,Finland,Male,70 to 74,Appendicitis,Number,2019,140.2179363,213.951981,92.55158822
Incidence,Finland,Female,70 to 74,Appendicitis,Number,2019,140.835335,205.9360469,95.22061553
Incidence,Finland,Male,70 to 74,Appendicitis,Rate,2019,85.69455717,130.7573107,56.56314433
Incidence,Finland,Female,70 to 74,Appendicitis,Rate,2019,75.77899022,110.8076016,51.23516832
Incidence,Finland,Male,75 to 79,Appendicitis,Number,2019,46.78796135,61.00515023,35.4953654
Incidence,Finland,Female,75 to 79,Appendicitis,Number,2019,56.47182492,75.80130617,39.29939907
Incidence,Finland,Male,75 to 79,Appendicitis,Rate,2019,49.80186604,64.93487281,37.78184349
Incidence,Finland,Female,75 to 79,Appendicitis,Rate,2019,47.7554874,64.10149356,33.23359852
Incidence,Finland,Male,All Ages,Appendicitis,Number,2019,6867.224477,8210.094551,5761.70489
Incidence,Finland,Female,All Ages,Appendicitis,Number,2019,6082.124362,7023.893382,5298.618594
Incidence,Finland,Male,All Ages,Appendicitis,Rate,2019,251.5365484,300.7239464,211.0429571
Incidence,Finland,Female,All Ages,Appendicitis,Rate,2019,216.9100467,250.4968578,188.9674623
Incidence,Finland,Male,80 to 84,Appendicitis,Number,2019,30.09910941,36.91777448,24.19843831
Incidence,Finland,Female,80 to 84,Appendicitis,Number,2019,42.2710735,53.88593976,31.73924468
Incidence,Finland,Male,80 to 84,Appendicitis,Rate,2019,46.31613574,56.80861287,37.23625634
Incidence,Finland,Female,80 to 84,Appendicitis,Rate,2019,44.06274021,56.16990457,33.08451802
Incidence,Finland,Male,85 to 89,Appendicitis,Number,2019,14.61724363,17.01786503,12.49034561
Incidence,Finland,Female,85 to 89,Appendicitis,Number,2019,25.48123908,31.11102693,20.71180651
Incidence,Finland,Male,85 to 89,Appendicitis,Rate,2019,42.83036818,49.86449179,36.59828864
Incidence,Finland,Female,85 to 89,Appendicitis,Rate,2019,40.36996099,49.28924137,32.81374262
Incidence,Finland,Male,90 to 94,Appendicitis,Number,2019,5.462886057,6.263740367,4.726689747
Incidence,Finland,Female,90 to 94,Appendicitis,Number,2019,12.48398914,14.60114272,10.5674268
Incidence,Finland,Male,90 to 94,Appendicitis,Rate,2019,39.34457802,45.11245869,34.0423746
Incidence,Finland,Female,90 to 94,Appendicitis,Rate,2019,36.67716016,42.89722174,31.04642283
Incidence,Finland,Male,95 plus,Appendicitis,Number,2019,1.336203761,1.613697594,1.0803166
Incidence,Finland,Female,95 plus,Appendicitis,Number,2019,3.954058626,4.832155507,3.255338716
Incidence,Finland,Male,95 plus,Appendicitis,Rate,2019,35.85876837,43.30567683,28.99170312
Incidence,Finland,Female,95 plus,Appendicitis,Rate,2019,32.98434011,40.30933169,27.1556923
Incidence,Finland,Male,1 to 4,Idiopathic epilepsy,Number,2019,88.35161248,162.8530359,22.9470432
Incidence,Finland,Female,1 to 4,Idiopathic epilepsy,Number,2019,74.77639234,140.6604183,19.61828118
Incidence,Finland,Male,1 to 4,Idiopathic epilepsy,Rate,2019,81.64193513,150.4855046,21.20437827
Incidence,Finland,Female,1 to 4,Idiopathic epilepsy,Rate,2019,72.33965907,136.0767267,18.97898157
Incidence,Finland,Male,5 to 9,Idiopathic epilepsy,Number,2019,91.61284941,185.5581238,23.73053814
Incidence,Finland,Female,5 to 9,Idiopathic epilepsy,Number,2019,81.44440462,164.3383481,21.40978751
Incidence,Finland,Male,5 to 9,Idiopathic epilepsy,Rate,2019,58.79631783,119.0895654,15.23004984
Incidence,Finland,Female,5 to 9,Idiopathic epilepsy,Rate,2019,54.65939825,110.2916187,14.36864948
Incidence,Finland,Male,10 to 14,Idiopathic epilepsy,Number,2019,82.02033722,159.6260911,20.79037448
Incidence,Finland,Female,10 to 14,Idiopathic epilepsy,Number,2019,72.59154217,145.0393463,17.67222376
Incidence,Finland,Male,10 to 14,Idiopathic epilepsy,Rate,2019,52.07742426,101.3518836,13.20049623
Incidence,Finland,Female,10 to 14,Idiopathic epilepsy,Rate,2019,48.1445375,96.19374433,11.72066351
Incidence,Finland,Male,15 to 19,Idiopathic epilepsy,Number,2019,68.44665363,132.2911587,17.24875855
Incidence,Finland,Female,15 to 19,Idiopathic epilepsy,Number,2019,58.824238,111.4116257,13.58239925
Incidence,Finland,Male,15 to 19,Idiopathic epilepsy,Rate,2019,44.96799457,86.91247548,11.33206723
Incidence,Finland,Female,15 to 19,Idiopathic epilepsy,Rate,2019,40.76855694,77.21462037,9.4133785
Incidence,Finland,Male,20 to 24,Idiopathic epilepsy,Number,2019,62.71369362,124.2405018,15.2354258
Incidence,Finland,Female,20 to 24,Idiopathic epilepsy,Number,2019,53.39976978,105.7023892,12.98990054
Incidence,Finland,Male,20 to 24,Idiopathic epilepsy,Rate,2019,39.03953615,77.34023119,9.484116181
Incidence,Finland,Female,20 to 24,Idiopathic epilepsy,Rate,2019,35.0762932,69.43190976,8.532575362
Incidence,Finland,Male,25 to 29,Idiopathic epilepsy,Number,2019,62.44549995,118.2371102,16.63508118
Incidence,Finland,Female,25 to 29,Idiopathic epilepsy,Number,2019,53.62297948,100.4630878,13.7909197
Incidence,Finland,Male,25 to 29,Idiopathic epilepsy,Rate,2019,34.29535527,64.93636375,9.136062959
Incidence,Finland,Female,25 to 29,Idiopathic epilepsy,Rate,2019,31.06844085,58.20697641,7.990275383
Incidence,Finland,Male,30 to 34,Idiopathic epilepsy,Number,2019,59.00881938,111.6514716,15.03890533
Incidence,Finland,Female,30 to 34,Idiopathic epilepsy,Number,2019,49.35903091,96.47701425,12.34445483
Incidence,Finland,Male,30 to 34,Idiopathic epilepsy,Rate,2019,32.85461336,62.16470638,8.373280899
Incidence,Finland,Female,30 to 34,Idiopathic epilepsy,Rate,2019,29.20119468,57.07656782,7.303077511
Incidence,Finland,Male,35 to 39,Idiopathic epilepsy,Number,2019,64.55722386,123.9261327,16.28386407
Incidence,Finland,Female,35 to 39,Idiopathic epilepsy,Number,2019,51.37936134,103.2499918,11.67587823
Incidence,Finland,Male,35 to 39,Idiopathic epilepsy,Rate,2019,34.71337583,66.63691778,8.756074991
Incidence,Finland,Female,35 to 39,Idiopathic epilepsy,Rate,2019,29.47380562,59.22942813,6.697875497
Incidence,Finland,Male,40 to 44,Idiopathic epilepsy,Number,2019,63.13911242,120.0623027,16.383761
Incidence,Finland,Female,40 to 44,Idiopathic epilepsy,Number,2019,49.62382325,99.39505015,11.87799177
Incidence,Finland,Male,40 to 44,Idiopathic epilepsy,Rate,2019,35.42071437,67.35432868,9.191204889
Incidence,Finland,Female,40 to 44,Idiopathic epilepsy,Rate,2019,29.40470891,58.89676218,7.038330939
Incidence,Finland,Male,45 to 49,Idiopathic epilepsy,Number,2019,56.01254385,104.5505443,15.00806545
Incidence,Finland,Female,45 to 49,Idiopathic epilepsy,Number,2019,44.79571522,86.16529017,11.39889102
Incidence,Finland,Male,45 to 49,Idiopathic epilepsy,Rate,2019,34.993373,65.3170869,9.376164624
Incidence,Finland,Female,45 to 49,Idiopathic epilepsy,Rate,2019,29.00252544,55.78683158,7.38009484
Incidence,Finland,Male,50 to 54,Idiopathic epilepsy,Number,2019,60.65883751,112.6799817,15.49099122
Incidence,Finland,Female,50 to 54,Idiopathic epilepsy,Number,2019,51.06864563,100.1932338,13.42264415
Incidence,Finland,Male,50 to 54,Idiopathic epilepsy,Rate,2019,33.86444241,62.90665812,8.648266296
Incidence,Finland,Female,50 to 54,Idiopathic epilepsy,Rate,2019,28.86784314,56.63675863,7.587488978
Incidence,Finland,Male,55 to 59,Idiopathic epilepsy,Number,2019,58.87627736,111.8538485,14.47539982
Incidence,Finland,Female,55 to 59,Idiopathic epilepsy,Number,2019,53.75352903,105.1378671,13.82148301
Incidence,Finland,Male,55 to 59,Idiopathic epilepsy,Rate,2019,32.03079116,60.85247611,7.875132898
Incidence,Finland,Female,55 to 59,Idiopathic epilepsy,Rate,2019,28.99716534,56.71627838,7.455953784
Incidence,Finland,Male,60 to 64,Idiopathic epilepsy,Number,2019,54.96451387,109.0733618,13.87800671
Incidence,Finland,Female,60 to 64,Idiopathic epilepsy,Number,2019,53.02954373,106.4062661,13.29881135
Incidence,Finland,Male,60 to 64,Idiopathic epilepsy,Rate,2019,31.2009564,61.91618859,7.877938907
Incidence,Finland,Female,60 to 64,Idiopathic epilepsy,Rate,2019,28.88812182,57.965371,7.244597169
Incidence,Finland,Male,65 to 69,Idiopathic epilepsy,Number,2019,53.85698781,97.49841068,13.18733282
Incidence,Finland,Female,65 to 69,Idiopathic epilepsy,Number,2019,56.4911896,103.5072756,13.99845832
Incidence,Finland,Male,65 to 69,Idiopathic epilepsy,Rate,2019,31.51549641,57.05315014,7.716832246
Incidence,Finland,Female,65 to 69,Idiopathic epilepsy,Rate,2019,30.40949552,55.71849442,7.53544152
Incidence,Finland,Male,70 to 74,Idiopathic epilepsy,Number,2019,52.62158902,92.36707046,13.20576714
Incidence,Finland,Female,70 to 74,Idiopathic epilepsy,Number,2019,59.67867897,107.4965837,15.93463854
Incidence,Finland,Male,70 to 74,Idiopathic epilepsy,Rate,2019,32.15982126,56.45037581,8.070739002
Incidence,Finland,Female,70 to 74,Idiopathic epilepsy,Rate,2019,32.1111888,57.84047424,8.57391945
Incidence,Finland,Male,75 to 79,Idiopathic epilepsy,Number,2019,31.12446657,56.20935792,8.044496576
Incidence,Finland,Female,75 to 79,Idiopathic epilepsy,Number,2019,40.07477032,73.61642793,10.24275382
Incidence,Finland,Male,75 to 79,Idiopathic epilepsy,Rate,2019,33.12938777,59.83015358,8.562692823
Incidence,Finland,Female,75 to 79,Idiopathic epilepsy,Rate,2019,33.88929243,62.25384784,8.661800847
Incidence,Finland,Male,All Ages,Idiopathic epilepsy,Number,2019,1081.079375,1670.964991,301.5405434
Incidence,Finland,Female,All Ages,Idiopathic epilepsy,Number,2019,1007.531341,1584.131175,266.1787957
Incidence,Finland,Male,All Ages,Idiopathic epilepsy,Rate,2019,39.59838147,61.20504253,11.04499609
Incidence,Finland,Female,All Ages,Idiopathic epilepsy,Rate,2019,35.93212785,56.49571541,9.49287643
Incidence,Finland,Male,80 to 84,Idiopathic epilepsy,Number,2019,22.47274063,40.71200771,5.80802045
Incidence,Finland,Female,80 to 84,Idiopathic epilepsy,Number,2019,35.18797392,63.22161292,9.392807709
Incidence,Finland,Male,80 to 84,Idiopathic epilepsy,Rate,2019,34.58077417,62.64713184,8.937309734
Incidence,Finland,Female,80 to 84,Idiopathic epilepsy,Rate,2019,36.67942224,65.90127184,9.790923477
Incidence,Finland,Male,85 to 89,Idiopathic epilepsy,Number,2019,12.46241482,22.8147514,3.266670582
Incidence,Finland,Female,85 to 89,Idiopathic epilepsy,Number,2019,25.55258536,47.93184404,6.5606901
Incidence,Finland,Male,85 to 89,Idiopathic epilepsy,Rate,2019,36.5164479,66.8501003,9.571756985
Incidence,Finland,Female,85 to 89,Idiopathic epilepsy,Rate,2019,40.48299499,75.9384843,10.39411006
Incidence,Finland,Male,90 to 94,Idiopathic epilepsy,Number,2019,5.471460471,10.17889977,1.429287069
Incidence,Finland,Female,90 to 94,Idiopathic epilepsy,Number,2019,14.70366841,28.35200352,3.684317979
Incidence,Finland,Male,90 to 94,Idiopathic epilepsy,Rate,2019,39.40633232,73.3100621,10.29395378
Incidence,Finland,Female,90 to 94,Idiopathic epilepsy,Rate,2019,43.19843563,83.29636965,10.82429015
Incidence,Finland,Male,95 plus,Idiopathic epilepsy,Number,2019,1.611128286,3.779784139,0.355021599
Incidence,Finland,Female,95 plus,Idiopathic epilepsy,Number,2019,5.373582235,12.9928265,1.176730352
Incidence,Finland,Male,95 plus,Idiopathic epilepsy,Rate,2019,43.23672611,101.4354307,9.527467039
Incidence,Finland,Female,95 plus,Idiopathic epilepsy,Rate,2019,44.82585637,108.3847886,9.816160515
Incidence,United Kingdom,Male,1 to 4,Malignant skin melanoma,Number,2019,11.32268888,70.88425801,1.940145708
Incidence,United Kingdom,Female,1 to 4,Malignant skin melanoma,Number,2019,29.29527817,75.20297002,3.241859381
Incidence,United Kingdom,Male,1 to 4,Malignant skin melanoma,Rate,2019,0.708598212,4.436089254,0.121418489
Incidence,United Kingdom,Female,1 to 4,Malignant skin melanoma,Rate,2019,1.92783083,4.94887276,0.213336649
Incidence,United Kingdom,Male,5 to 9,Malignant skin melanoma,Number,2019,4.759659087,6.592327873,2.670641729
Incidence,United Kingdom,Female,5 to 9,Malignant skin melanoma,Number,2019,5.366165314,7.395534257,4.106681966
Incidence,United Kingdom,Male,5 to 9,Malignant skin melanoma,Rate,2019,0.23367419,0.323648573,0.131114441
Incidence,United Kingdom,Female,5 to 9,Malignant skin melanoma,Rate,2019,0.276316911,0.380814057,0.211463049
Incidence,United Kingdom,Male,10 to 14,Malignant skin melanoma,Number,2019,5.142565756,6.986967789,2.825929771
Incidence,United Kingdom,Female,10 to 14,Malignant skin melanoma,Number,2019,5.881531002,8.099235329,4.462803537
Incidence,United Kingdom,Male,10 to 14,Malignant skin melanoma,Rate,2019,0.253025899,0.343774663,0.139042154
