measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Norway,Male,1 to 4,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Prevalence,Norway,Female,1 to 4,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Prevalence,Norway,Male,1 to 4,Ischemic heart disease,Rate,2019,0.0,0.0,0.0
Prevalence,Norway,Female,1 to 4,Ischemic heart disease,Rate,2019,0.0,0.0,0.0
Prevalence,Norway,Male,5 to 9,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Prevalence,Norway,Female,5 to 9,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Prevalence,Norway,Male,5 to 9,Ischemic heart disease,Rate,2019,0.0,0.0,0.0
Prevalence,Norway,Female,5 to 9,Ischemic heart disease,Rate,2019,0.0,0.0,0.0
Prevalence,Norway,Male,10 to 14,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Prevalence,Norway,Female,10 to 14,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Prevalence,Norway,Male,10 to 14,Ischemic heart disease,Rate,2019,0.0,0.0,0.0
Prevalence,Norway,Female,10 to 14,Ischemic heart disease,Rate,2019,0.0,0.0,0.0
Prevalence,Norway,Male,15 to 19,Ischemic heart disease,Number,2019,27.029063104313185,37.437821622712725,18.8635558971
Prevalence,Norway,Female,15 to 19,Ischemic heart disease,Number,2019,38.51878544355818,51.48162746402648,27.03025987771172
Prevalence,Norway,Male,15 to 19,Ischemic heart disease,Rate,2019,16.392160407165708,22.704700305961925,11.44007222601277
Prevalence,Norway,Female,15 to 19,Ischemic heart disease,Rate,2019,24.822719895693726,33.17638403179971,17.419151770385263
Prevalence,Norway,Male,20 to 24,Ischemic heart disease,Number,2019,65.63584786246375,84.5729276851722,50.105304906670995
Prevalence,Norway,Female,20 to 24,Ischemic heart disease,Number,2019,86.75976487926735,110.54587132915358,67.01348888541675
Prevalence,Norway,Male,20 to 24,Ischemic heart disease,Rate,2019,37.12330407257662,47.834020783026865,28.339307410139575
Prevalence,Norway,Female,20 to 24,Ischemic heart disease,Rate,2019,52.54347509748791,66.9488240937074,40.584729446265555
Prevalence,Norway,Male,25 to 29,Ischemic heart disease,Number,2019,205.1363285545315,246.22432250068698,165.08531528759673
Prevalence,Norway,Female,25 to 29,Ischemic heart disease,Number,2019,256.39987679343795,304.78212448618166,213.75183707339394
Prevalence,Norway,Male,25 to 29,Ischemic heart disease,Rate,2019,107.14518002393947,128.60593511887663,86.22605245221752
Prevalence,Norway,Female,25 to 29,Ischemic heart disease,Rate,2019,140.73777106126698,167.2947639286877,117.32828223703139
Prevalence,Norway,Male,30 to 34,Ischemic heart disease,Number,2019,452.883569634938,542.5716983784921,372.1117013712573
Prevalence,Norway,Female,30 to 34,Ischemic heart disease,Number,2019,506.76483954054453,611.8244310634236,416.46342209593513
Prevalence,Norway,Male,30 to 34,Ischemic heart disease,Rate,2019,239.8310331135371,287.32667662280676,197.05712407593577
Prevalence,Norway,Female,30 to 34,Ischemic heart disease,Rate,2019,281.55683533921984,339.92758998358653,231.38567242783583
Prevalence,Norway,Male,35 to 39,Ischemic heart disease,Number,2019,854.6932764596448,1024.4297571144552,721.6114987448597
Prevalence,Norway,Female,35 to 39,Ischemic heart disease,Number,2019,726.5795784944331,860.5218786544262,610.9313498369414
Prevalence,Norway,Male,35 to 39,Ischemic heart disease,Rate,2019,465.0187165961622,557.3683846789623,392.6120191530625
Prevalence,Norway,Female,35 to 39,Ischemic heart disease,Rate,2019,423.3844608414632,501.4338448533464,355.99519697186565
Prevalence,Norway,Male,40 to 44,Ischemic heart disease,Number,2019,1572.2678035986585,1881.0534506161844,1331.948156395032
Prevalence,Norway,Female,40 to 44,Ischemic heart disease,Number,2019,994.5829156993702,1182.5169119422994,844.4088365421255
Prevalence,Norway,Male,40 to 44,Ischemic heart disease,Rate,2019,866.6923947194712,1036.9065091699981,734.2192816427267
Prevalence,Norway,Female,40 to 44,Ischemic heart disease,Rate,2019,583.7293777231006,694.0294773409992,495.5909023955241
Prevalence,Norway,Male,45 to 49,Ischemic heart disease,Number,2019,3257.323765683728,3795.981239861692,2768.7670506646355
Prevalence,Norway,Female,45 to 49,Ischemic heart disease,Number,2019,1532.5753935873925,1795.9023007195024,1314.9802739351219
Prevalence,Norway,Male,45 to 49,Ischemic heart disease,Rate,2019,1670.4533724147864,1946.6930891406844,1419.9068284029945
Prevalence,Norway,Female,45 to 49,Ischemic heart disease,Rate,2019,831.045534202476,973.8356710682688,713.0536538630755
Prevalence,Norway,Male,50 to 54,Ischemic heart disease,Number,2019,5762.900332425412,6750.7182397804545,4879.483051701508
Prevalence,Norway,Female,50 to 54,Ischemic heart disease,Number,2019,2231.014678874153,2650.8376120443627,1893.6332845520353
Prevalence,Norway,Male,50 to 54,Ischemic heart disease,Rate,2019,3056.3848381202083,3580.279318452636,2587.859785318964
Prevalence,Norway,Female,50 to 54,Ischemic heart disease,Rate,2019,1252.8133880785326,1488.5625278212865,1063.3588176098845
Prevalence,Norway,Male,55 to 59,Ischemic heart disease,Number,2019,8582.269926585886,9907.15232430289,7311.132856895735
Prevalence,Norway,Female,55 to 59,Ischemic heart disease,Number,2019,3152.2328388674637,3720.5883316229883,2702.3418292218284
Prevalence,Norway,Male,55 to 59,Ischemic heart disease,Rate,2019,5149.72223076463,5944.707286587287,4386.986627931353
Prevalence,Norway,Female,55 to 59,Ischemic heart disease,Rate,2019,1974.381551857558,2330.367501231966,1692.595099144234
Prevalence,Norway,Male,60 to 64,Ischemic heart disease,Number,2019,12143.214771707313,14450.324869307962,10227.099782789806
Prevalence,Norway,Female,60 to 64,Ischemic heart disease,Number,2019,4648.831773711598,5596.52756560748,3858.3571281994346
Prevalence,Norway,Male,60 to 64,Ischemic heart disease,Rate,2019,7938.706041174263,9446.994349814735,6686.033340898432
Prevalence,Norway,Female,60 to 64,Ischemic heart disease,Rate,2019,3077.7047551559544,3705.1156805529276,2554.380252626014
Prevalence,Norway,Male,65 to 69,Ischemic heart disease,Number,2019,16425.16982233903,19085.921678695104,14075.584954976788
Prevalence,Norway,Female,65 to 69,Ischemic heart disease,Number,2019,6788.820082180103,8048.69100253194,5758.46702092814
Prevalence,Norway,Male,65 to 69,Ischemic heart disease,Rate,2019,12038.355237724378,13988.476691122392,10316.294668462011
Prevalence,Norway,Female,65 to 69,Ischemic heart disease,Rate,2019,4958.209072566474,5878.354746178898,4205.6915755045175
Prevalence,Norway,Male,70 to 74,Ischemic heart disease,Number,2019,19578.854631786555,22737.844576626194,16759.921574043758
Prevalence,Norway,Female,70 to 74,Ischemic heart disease,Number,2019,9222.123436044758,10937.94226714543,7750.119800094163
Prevalence,Norway,Male,70 to 74,Ischemic heart disease,Rate,2019,15618.37318671111,18138.351233408077,13369.664091506684
Prevalence,Norway,Female,70 to 74,Ischemic heart disease,Rate,2019,7069.7041915408345,8385.055440771093,5941.262315088731
Prevalence,Norway,Male,75 to 79,Ischemic heart disease,Number,2019,14672.194186817855,16955.34219881027,12528.794614049524
Prevalence,Norway,Female,75 to 79,Ischemic heart disease,Number,2019,8354.770242969276,9766.540258672972,7032.53796356739
Prevalence,Norway,Male,75 to 79,Ischemic heart disease,Rate,2019,19149.51865645669,22129.385532154247,16352.045450721369
Prevalence,Norway,Female,75 to 79,Ischemic heart disease,Rate,2019,9595.098054971959,11216.45583475598,8076.57055471107
Prevalence,Norway,Male,All Ages,Ischemic heart disease,Number,2019,102171.35046895326,114126.62131201153,91001.15207829897
Prevalence,Norway,Female,All Ages,Ischemic heart disease,Number,2019,55060.95394571269,61715.3619246978,49108.636908674875
Prevalence,Norway,Male,All Ages,Ischemic heart disease,Rate,2019,3786.5336317218794,4229.603385775292,3372.5591497845903
Prevalence,Norway,Female,All Ages,Ischemic heart disease,Rate,2019,2077.3288542492633,2328.38505128358,1852.7610063534687
Prevalence,Norway,Male,80 to 84,Ischemic heart disease,Number,2019,9973.964170608362,11697.940962870318,8390.57880545432
Prevalence,Norway,Female,80 to 84,Ischemic heart disease,Number,2019,7205.476358225871,8537.929603966208,6024.170822530458
Prevalence,Norway,Male,80 to 84,Ischemic heart disease,Rate,2019,21251.627111803424,24924.922033647872,17877.89177658937
Prevalence,Norway,Female,80 to 84,Ischemic heart disease,Rate,2019,11612.523969663705,13759.938586734996,9708.702741647487
Prevalence,Norway,Male,85 to 89,Ischemic heart disease,Number,2019,5719.945317868471,6763.822490251061,4811.3207558786335
Prevalence,Norway,Female,85 to 89,Ischemic heart disease,Number,2019,5343.851975642942,6351.208328250948,4497.82757639232
Prevalence,Norway,Male,85 to 89,Ischemic heart disease,Rate,2019,20684.572692631682,24459.46074739595,17398.787644289096
Prevalence,Norway,Female,85 to 89,Ischemic heart disease,Rate,2019,11967.470679961818,14223.429054007003,10072.812624553018
Prevalence,Norway,Male,90 to 94,Ischemic heart disease,Number,2019,2286.304773658499,2918.030008026541,1798.5470903520538
Prevalence,Norway,Female,90 to 94,Ischemic heart disease,Number,2019,2858.842460525792,3568.581733749919,2264.703750066
Prevalence,Norway,Male,90 to 94,Ischemic heart disease,Rate,2019,19232.610747487633,24546.74282294326,15129.547249475441
Prevalence,Norway,Female,90 to 94,Ischemic heart disease,Rate,2019,11301.63255152796,14107.38788226848,8952.87165162854
Prevalence,Norway,Male,95 plus,Ischemic heart disease,Number,2019,591.5628802575905,835.6618631518354,401.3283153932258
Prevalence,Norway,Female,95 plus,Ischemic heart disease,Number,2019,1112.8089442327268,1577.4783168940335,769.494648145985
Prevalence,Norway,Male,95 plus,Ischemic heart disease,Rate,2019,18110.2670250707,25583.17972513395,12286.374279143847
Prevalence,Norway,Female,95 plus,Ischemic heart disease,Rate,2019,10309.391283130628,14614.225823578392,7128.826074885339
Prevalence,Finland,Male,95 plus,Appendicitis,Number,2019,0.042951433730450864,0.051818893384011015,0.03490944770423681
Prevalence,Finland,Female,95 plus,Appendicitis,Number,2019,0.13314923763135902,0.16162455562048975,0.10978267518143393
Prevalence,Finland,Male,95 plus,Appendicitis,Rate,2019,1.15265767,1.3906275,0.9368405000000001
Prevalence,Finland,Female,95 plus,Appendicitis,Rate,2019,1.1107169,1.348255,0.9157955
Prevalence,Finland,Male,1 to 4,Idiopathic epilepsy,Number,2019,324.50907978149587,546.2886430903491,91.43530146177696
Prevalence,Finland,Female,1 to 4,Idiopathic epilepsy,Number,2019,283.78613427973096,484.1080894114359,78.00479044549364
Prevalence,Finland,Male,1 to 4,Idiopathic epilepsy,Rate,2019,299.86492034876625,504.80190125350094,84.49143983386507
Prevalence,Finland,Female,1 to 4,Idiopathic epilepsy,Rate,2019,274.5384146036511,468.3324916530667,75.46285358426483
Prevalence,Finland,Male,5 to 9,Idiopathic epilepsy,Number,2019,562.8388426928542,1023.909235029004,146.52262969673126
Prevalence,Finland,Female,5 to 9,Idiopathic epilepsy,Number,2019,497.8473848955551,915.3361165106011,132.84300264966421
Prevalence,Finland,Male,5 to 9,Idiopathic epilepsy,Rate,2019,361.2249995036303,657.1359061601775,94.03692997847234
Prevalence,Finland,Female,5 to 9,Idiopathic epilepsy,Rate,2019,334.1179619306235,614.3052007678515,89.15429637410256
Prevalence,Finland,Male,10 to 14,Idiopathic epilepsy,Number,2019,615.260676112375,1117.3963082241503,167.48621636130693
Prevalence,Finland,Female,10 to 14,Idiopathic epilepsy,Number,2019,566.7499744927967,1022.2526421467273,148.94571954108838
Prevalence,Finland,Male,10 to 14,Idiopathic epilepsy,Rate,2019,390.6493480002318,709.4718648748866,106.34253701047531
Prevalence,Finland,Female,10 to 14,Idiopathic epilepsy,Rate,2019,375.8828451297875,677.9836768681462,98.7845493616679
Prevalence,Finland,Male,15 to 19,Idiopathic epilepsy,Number,2019,601.1895346224958,1089.6065004259576,155.950264940482
Prevalence,Finland,Female,15 to 19,Idiopathic epilepsy,Number,2019,563.2069944183168,980.7203383198524,143.0647734121435
Prevalence,Finland,Male,15 to 19,Idiopathic epilepsy,Rate,2019,394.9687281184515,715.8482788511502,102.45600471397975
Prevalence,Finland,Female,15 to 19,Idiopathic epilepsy,Rate,2019,390.3346171759576,679.695212610281,99.15205974824447
Prevalence,Finland,Male,20 to 24,Idiopathic epilepsy,Number,2019,610.0362050854335,1080.1431649871186,151.00041647685882
Prevalence,Finland,Female,20 to 24,Idiopathic epilepsy,Number,2019,583.1870640873921,1023.6554516003482,148.96037142364514
