measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,England,Both,1-4 years,All causes,Number,2019,406.877781525299,437.130039916134,379.907045198427
Deaths,England,Both,1-4 years,All causes,Rate,2019,15.2062332042308,16.3368501042767,14.1982565466243
Deaths,England,Female,1-4 years,All causes,Number,2019,189.301725228695,199.879711807471,179.106108330122
Deaths,England,Female,1-4 years,All causes,Rate,2019,14.5172480800196,15.3284570384466,13.7353624439187
Deaths,England,Female,1-4 years,Breast cancer,Number,2019,0,0,0
Deaths,England,Female,1-4 years,Breast cancer,Rate,2019,0,0,0
Deaths,England,Male,1-4 years,All causes,Number,2019,217.576056296604,236.838855334892,200.114222672822
Deaths,England,Male,1-4 years,All causes,Rate,2019,15.8611776249664,17.26542532713,14.5882193340649
Deaths,England,Male,1-4 years,Prostate cancer,Number,2019,0,0,0
Deaths,England,Male,1-4 years,Prostate cancer,Rate,2019,0,0,0
Deaths,England,Both,10-14 years,All causes,Number,2019,288.508379378405,292.3440390879,284.879611650773
Deaths,England,Both,10-14 years,All causes,Rate,2019,8.59262397666214,8.70686114945112,8.48454865264773
Deaths,England,Female,10-14 years,All causes,Number,2019,123.701494483049,125.019859069282,122.448785037428
Deaths,England,Female,10-14 years,All causes,Rate,2019,7.54567738937721,7.62609641657542,7.46926326537017
Deaths,England,Female,10-14 years,Breast cancer,Number,2019,0,0,0
Deaths,England,Female,10-14 years,Breast cancer,Rate,2019,0,0,0
Deaths,England,Male,10-14 years,All causes,Number,2019,164.806884895357,167.863488410435,161.79657968525
Deaths,England,Male,10-14 years,All causes,Rate,2019,9.59150213279825,9.76939166182252,9.41630709248517
Deaths,England,Male,10-14 years,Prostate cancer,Number,2019,0,0,0
Deaths,England,Male,10-14 years,Prostate cancer,Rate,2019,0,0,0
Deaths,England,Both,15-19 years,All causes,Number,2019,714.005015092937,722.311269642726,705.983105559798
Deaths,England,Both,15-19 years,All causes,Rate,2019,22.9317452133693,23.1985177275489,22.6741050264657
Deaths,England,Female,15-19 years,All causes,Number,2019,241.305869277518,244.051517821022,238.674220514677
Deaths,England,Female,15-19 years,All causes,Rate,2019,15.8696360496966,16.0502053961292,15.6965639723287
Deaths,England,Female,15-19 years,Breast cancer,Number,2019,0.662045892078987,0.726549281090794,0.624743569568404
Deaths,England,Female,15-19 years,Breast cancer,Rate,2019,0.0435398748772543,0.0477819818374133,0.0410866635905842
Deaths,England,Male,15-19 years,All causes,Number,2019,472.699145815419,480.484784190691,465.238633953479
Deaths,England,Male,15-19 years,All causes,Rate,2019,29.6724224212336,30.1611450109297,29.2041087773318
Deaths,England,Male,15-19 years,Prostate cancer,Number,2019,0,0,0
Deaths,England,Male,15-19 years,Prostate cancer,Rate,2019,0,0,0
Deaths,England,Both,20-24 years,All causes,Number,2019,1241.46893783479,1255.95203227841,1227.91181700094
Deaths,England,Both,20-24 years,All causes,Rate,2019,35.9399404580306,36.3592192140982,35.5474682014146
Deaths,England,Female,20-24 years,All causes,Number,2019,346.941498600963,353.177241465643,340.917311110844
Deaths,England,Female,20-24 years,All causes,Rate,2019,20.3813339172869,20.7476572255677,20.0274385853317
Deaths,England,Female,20-24 years,Breast cancer,Number,2019,2.38064223568452,2.57401800609596,2.24517779026717
Deaths,England,Female,20-24 years,Breast cancer,Rate,2019,0.13985258188698,0.151212583974252,0.131894623248119
Deaths,England,Male,20-24 years,All causes,Number,2019,894.527439233823,908.149039721235,881.776840005722
Deaths,England,Male,20-24 years,All causes,Rate,2019,51.0564385831229,51.8339109983739,50.3286798159407
Deaths,England,Male,20-24 years,Prostate cancer,Number,2019,0.514820135282903,0.902055751735738,0.438897842926842
Deaths,England,Male,20-24 years,Prostate cancer,Rate,2019,0.0293840987605031,0.0514861278335922,0.0250507248618921
Deaths,England,Both,25-29 years,All causes,Number,2019,1663.6119907797,1680.69831868141,1646.58934810728
Deaths,England,Both,25-29 years,All causes,Rate,2019,42.3909505403514,42.8263319183482,41.957191943039
