measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,England,Female,1-4 years,Breast cancer,Number,2019,0,0,0
Prevalence,England,Female,1-4 years,Breast cancer,Rate,2019,0,0,0
Prevalence,England,Male,1-4 years,Prostate cancer,Number,2019,0,0,0
Prevalence,England,Male,1-4 years,Prostate cancer,Rate,2019,0,0,0
Prevalence,England,Female,10-14 years,Breast cancer,Number,2019,0,0,0
Prevalence,England,Female,10-14 years,Breast cancer,Rate,2019,0,0,0
Prevalence,England,Male,10-14 years,Prostate cancer,Number,2019,0,0,0
Prevalence,England,Male,10-14 years,Prostate cancer,Rate,2019,0,0,0
Prevalence,England,Female,15-19 years,Breast cancer,Number,2019,77.1014904137056,93.923955549492,64.0922736254646
Prevalence,England,Female,15-19 years,Breast cancer,Rate,2019,5.07062922015994,6.17696948433565,4.21506969175264
Prevalence,England,Male,15-19 years,Prostate cancer,Number,2019,0,0,0
Prevalence,England,Male,15-19 years,Prostate cancer,Rate,2019,0,0,0
Prevalence,England,Female,20-24 years,Breast cancer,Number,2019,261.200133312405,341.27246264469,198.152167859116
Prevalence,England,Female,20-24 years,Breast cancer,Rate,2019,15.3443942501758,20.0483022238176,11.6405950739723
Prevalence,England,Male,20-24 years,Prostate cancer,Number,2019,93.4414546866329,165.769757439583,66.2208300463162
Prevalence,England,Male,20-24 years,Prostate cancer,Rate,2019,5.33330525490866,9.46154703415524,3.77964900112963
Prevalence,England,Female,25-29 years,Breast cancer,Number,2019,2227.41064231625,2971.48134073639,1628.56705697232
Prevalence,England,Female,25-29 years,Breast cancer,Rate,2019,114.480741507996,152.723247703859,83.702376533413
Prevalence,England,Male,25-29 years,Prostate cancer,Number,2019,146.364789972358,235.201389071703,108.932263079432
Prevalence,England,Male,25-29 years,Prostate cancer,Rate,2019,7.39669354720336,11.8861414495145,5.50500272336033
Prevalence,England,Female,30-34 years,Breast cancer,Number,2019,6456.2060557661,8570.93832918832,4810.74603146476
Prevalence,England,Female,30-34 years,Breast cancer,Rate,2019,318.075698135794,422.261490601065,237.009381251941
Prevalence,England,Male,30-34 years,Prostate cancer,Number,2019,182.090589621321,260.632683075673,138.530873210034
Prevalence,England,Male,30-34 years,Prostate cancer,Rate,2019,8.8525025468244,12.6708991140689,6.73480661716764
Prevalence,England,Female,35-39 years,Breast cancer,Number,2019,11024.7131404578,14511.4394670332,8208.61857055735
Prevalence,England,Female,35-39 years,Breast cancer,Rate,2019,566.568321135132,745.753816116952,421.84709779816
Prevalence,England,Male,35-39 years,Prostate cancer,Number,2019,242.232014129277,342.699331656553,181.646857081406
Prevalence,England,Male,35-39 years,Prostate cancer,Rate,2019,12.2855684585121,17.3810886017153,9.21279916681934
Prevalence,England,Female,40-44 years,Breast cancer,Number,2019,18344.945997822,23909.7083112309,13987.7373674344
Prevalence,England,Female,40-44 years,Breast cancer,Rate,2019,1057.36865170498,1378.11122707622,806.227230233517
Prevalence,England,Male,40-44 years,Prostate cancer,Number,2019,471.725434349768,638.059055281026,342.374409554445
Prevalence,England,Male,40-44 years,Prostate cancer,Rate,2019,26.9362273754284,36.4341257445476,19.550090522464
Prevalence,England,Female,45-49 years,Breast cancer,Number,2019,31229.9556782407,39958.4758692613,23857.0310590963
Prevalence,England,Female,45-49 years,Breast cancer,Rate,2019,1641.73170599449,2100.58244826422,1254.14344817347
Prevalence,England,Male,45-49 years,Prostate cancer,Number,2019,2140.42570706482,3145.4073771466,1496.63100617592
Prevalence,England,Male,45-49 years,Prostate cancer,Rate,2019,113.745647332521,167.151981522707,79.5333666819238
Prevalence,England,Female,5-9 years,Breast cancer,Number,2019,0,0,0
Prevalence,England,Female,5-9 years,Breast cancer,Rate,2019,0,0,0
Prevalence,England,Male,5-9 years,Prostate cancer,Number,2019,0,0,0
Prevalence,England,Male,5-9 years,Prostate cancer,Rate,2019,0,0,0
Prevalence,England,Female,50-54 years,Breast cancer,Number,2019,41968.3800266069,53836.445173858,32589.5138511879
Prevalence,England,Female,50-54 years,Breast cancer,Rate,2019,2118.34747666684,2717.3862254024,1644.95066020408
Prevalence,England,Male,50-54 years,Prostate cancer,Number,2019,9553.1815842627,13378.8700365302,6496.6072263578
Prevalence,England,Male,50-54 years,Prostate cancer,Rate,2019,492.391057004376,689.575080375667,334.848790522123
Prevalence,England,Female,55-59 years,Breast cancer,Number,2019,50516.2448963306,62703.6397847129,39703.961386596
Prevalence,England,Female,55-59 years,Breast cancer,Rate,2019,2752.59907776162,3416.68272053679,2163.44440724978
Prevalence,England,Male,55-59 years,Prostate cancer,Number,2019,21043.5335905136,30810.1231466254,14644.947862245
Prevalence,England,Male,55-59 years,Prostate cancer,Rate,2019,1169.01237064969,1711.56687847719,813.557530385571
Prevalence,England,Female,60-64 years,Breast cancer,Number,2019,52560.0009866863,64618.3727662476,41999.7666574053
Prevalence,England,Female,60-64 years,Breast cancer,Rate,2019,3383.41990939925,4159.64773261105,2703.63097471751
Prevalence,England,Male,60-64 years,Prostate cancer,Number,2019,40073.4720377397,56270.4231264424,28300.8184977085
Prevalence,England,Male,60-64 years,Prostate cancer,Rate,2019,2653.40184936234,3725.85746120255,1873.8941329957
Prevalence,England,Female,65-69 years,Breast cancer,Number,2019,56409.3041860546,68099.0115335571,46695.9320931407
Prevalence,England,Female,65-69 years,Breast cancer,Rate,2019,3973.75155951799,4797.23260529078,3289.49338510255
Prevalence,England,Male,65-69 years,Prostate cancer,Number,2019,60514.5490307717,85148.8872178144,43929.4090345634
Prevalence,England,Male,65-69 years,Prostate cancer,Rate,2019,4499.07356705801,6330.56205295804,3266.01860493718
Prevalence,England,Female,70-74 years,Breast cancer,Number,2019,60573.2463416137,72877.1804977751,49973.9196085202
Prevalence,England,Female,70-74 years,Breast cancer,Rate,2019,4268.6438006244,5135.71161407437,3521.70099860177
Prevalence,England,Male,70-74 years,Prostate cancer,Number,2019,77214.8434639424,108633.176883515,56359.8858586526
Prevalence,England,Male,70-74 years,Prostate cancer,Rate,2019,5914.7029373083,8321.36596510885,4317.20078005728
Prevalence,England,Female,75-79 years,Breast cancer,Number,2019,48307.0236282878,58685.8397737893,39577.3854346088
Prevalence,England,Female,75-79 years,Breast cancer,Rate,2019,4732.91058718328,5749.7815332274,3877.61887335166
Prevalence,England,Male,75-79 years,Prostate cancer,Number,2019,61224.2185369167,84319.7570463167,47100.5779701424
Prevalence,England,Male,75-79 years,Prostate cancer,Rate,2019,6931.4023934775,9546.12700292565,5332.41692059431
Prevalence,England,Female,80-84 years,Breast cancer,Number,2019,41761.4486332185,51014.9028850668,34151.1668227597
Prevalence,England,Female,80-84 years,Breast cancer,Rate,2019,5368.61530277786,6558.18697056987,4390.28057725346
Prevalence,England,Male,80-84 years,Prostate cancer,Number,2019,38500.1235206062,49640.814652893,30206.907097699
Prevalence,England,Male,80-84 years,Prostate cancer,Rate,2019,6316.47640170587,8144.26047616786,4955.85983637211
Prevalence,England,Female,85-89 years,Breast cancer,Number,2019,27401.8607360801,33524.2226475814,22422.6836795133
Prevalence,England,Female,85-89 years,Breast cancer,Rate,2019,5426.77116681649,6639.26755215882,4440.67556019689
Prevalence,England,Male,85-89 years,Prostate cancer,Number,2019,16751.9825179094,20136.1656505324,13745.3626272803
Prevalence,England,Male,85-89 years,Prostate cancer,Rate,2019,5057.21297648227,6078.85533044226,4149.55221991312
Prevalence,England,Female,90-94 years,Breast cancer,Number,2019,12318.3991562466,15882.1400687523,9636.0137594235
Prevalence,England,Female,90-94 years,Breast cancer,Rate,2019,4942.05836239537,6371.80709473191,3865.90349735233
Prevalence,England,Male,90-94 years,Prostate cancer,Number,2019,4883.09082134041,5852.70485533542,3966.5396071971
Prevalence,England,Male,90-94 years,Prostate cancer,Rate,2019,3828.96686805384,4589.26810896907,3110.27365503965
Prevalence,England,Female,All ages,Breast cancer,Number,2019,465496.354010709,558723.107771217,388390.839531056
Prevalence,England,Female,All ages,Breast cancer,Rate,2019,1630.80447568657,1957.41199038876,1360.67557557785
Prevalence,England,Male,All ages,Prostate cancer,Number,2019,334102.429464169,449787.765226012,254211.826451459
Prevalence,England,Male,All ages,Prostate cancer,Rate,2019,1191.78581755451,1604.45010940391,906.805885564412
Prevalence,Estonia,Female,1-4 years,Breast cancer,Number,2019,0,0,0
Prevalence,Estonia,Female,1-4 years,Breast cancer,Rate,2019,0,0,0
Prevalence,Estonia,Male,1-4 years,Prostate cancer,Number,2019,0,0,0
Prevalence,Estonia,Male,1-4 years,Prostate cancer,Rate,2019,0,0,0
Prevalence,Estonia,Female,10-14 years,Breast cancer,Number,2019,0,0,0
Prevalence,Estonia,Female,10-14 years,Breast cancer,Rate,2019,0,0,0
Prevalence,Estonia,Male,10-14 years,Prostate cancer,Number,2019,0,0,0
Prevalence,Estonia,Male,10-14 years,Prostate cancer,Rate,2019,0,0,0
Prevalence,Estonia,Female,15-19 years,Breast cancer,Number,2019,1.34085193719706,2.21685196808405,0.767431455307959
Prevalence,Estonia,Female,15-19 years,Breast cancer,Rate,2019,4.4795482644785,7.40610884076848,2.5638522407756
Prevalence,Estonia,Male,15-19 years,Prostate cancer,Number,2019,0,0,0
Prevalence,Estonia,Male,15-19 years,Prostate cancer,Rate,2019,0,0,0
Prevalence,Estonia,Female,20-24 years,Breast cancer,Number,2019,3.52028318327756,5.49416749712787,2.13894186001288
Prevalence,Estonia,Female,20-24 years,Breast cancer,Rate,2019,11.2939258714761,17.626627520421,6.86224645935765
Prevalence,Estonia,Male,20-24 years,Prostate cancer,Number,2019,1.32256506284673,3.07714704277282,0.68791925650059
Prevalence,Estonia,Male,20-24 years,Prostate cancer,Rate,2019,4.05182291978034,9.4271769803178,2.1075159844672
Prevalence,Estonia,Female,25-29 years,Breast cancer,Number,2019,18.6569135773122,28.7694357355356,11.1486735719024
Prevalence,Estonia,Female,25-29 years,Breast cancer,Rate,2019,45.0390050093329,69.4512924037001,26.9136244197937
Prevalence,Estonia,Male,25-29 years,Prostate cancer,Number,2019,2.45309119323614,5.25978113291628,1.33255831950192
Prevalence,Estonia,Male,25-29 years,Prostate cancer,Rate,2019,5.38157981028975,11.5388828713309,2.92336011316593
Prevalence,Estonia,Female,30-34 years,Breast cancer,Number,2019,90.0672208472082,140.852124782743,55.4122504689293
Prevalence,Estonia,Female,30-34 years,Breast cancer,Rate,2019,191.036403600265,298.753343390024,117.531738466087
Prevalence,Estonia,Male,30-34 years,Prostate cancer,Number,2019,4.54202730218481,8.5379397432982,2.78527089193094
Prevalence,Estonia,Male,30-34 years,Prostate cancer,Rate,2019,8.86054598654692,16.6557360167057,5.43348139080396
Prevalence,Estonia,Female,35-39 years,Breast cancer,Number,2019,177.838075178606,260.987268409965,113.508515555465
Prevalence,Estonia,Female,35-39 years,Breast cancer,Rate,2019,399.579158988205,586.404644298738,255.03895686062
Prevalence,Estonia,Male,35-39 years,Prostate cancer,Number,2019,5.85294107083361,10.8943558138138,3.62927366734558
Prevalence,Estonia,Male,35-39 years,Prostate cancer,Rate,2019,12.4078226046136,23.0952665836578,7.69380441440283
