measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Finland,Both,1 to 4,Inflammatory bowel disease,Number,2019,0.204530642,0.275258607,0.15002185
Incidence,Finland,Both,1 to 4,Inflammatory bowel disease,Rate,2019,0.096665087,0.130092473,0.070903191
Incidence,Finland,Both,5 to 9,Inflammatory bowel disease,Number,2019,4.358945658,5.680351831,3.297298266
Incidence,Finland,Both,5 to 9,Inflammatory bowel disease,Rate,2019,1.43001864,1.8635261,1.081729013
Incidence,Finland,Both,10 to 14,Inflammatory bowel disease,Number,2019,21.37496083,27.66428734,16.67120713
Incidence,Finland,Both,10 to 14,Inflammatory bowel disease,Rate,2019,6.933725394,8.97389114,5.40789633
Incidence,Finland,Both,15 to 19,Inflammatory bowel disease,Number,2019,59.7438198,74.73033243,47.35454161
Incidence,Finland,Both,15 to 19,Inflammatory bowel disease,Rate,2019,20.14967375,25.20414367,15.97116768
Incidence,Finland,Both,20 to 24,Inflammatory bowel disease,Number,2019,112.7502494,136.5319118,91.56812814
Incidence,Finland,Both,20 to 24,Inflammatory bowel disease,Rate,2019,36.03621224,43.6370915,29.26617473
Incidence,Finland,Both,25 to 29,Inflammatory bowel disease,Number,2019,157.5474486,190.560688,127.9618972
Incidence,Finland,Both,25 to 29,Inflammatory bowel disease,Rate,2019,44.41987772,53.72782949,36.07834893
Incidence,Finland,Both,30 to 34,Inflammatory bowel disease,Number,2019,154.3550928,186.1957882,123.9788971
Incidence,Finland,Both,30 to 34,Inflammatory bowel disease,Rate,2019,44.27390229,53.40681658,35.5610526
Incidence,Finland,Both,35 to 39,Inflammatory bowel disease,Number,2019,145.380703,175.4156854,118.9903442
Incidence,Finland,Both,35 to 39,Inflammatory bowel disease,Rate,2019,40.35054193,48.6867777,33.02587463
Incidence,Finland,Both,40 to 44,Inflammatory bowel disease,Number,2019,125.6977812,151.8795167,103.6129982
Incidence,Finland,Both,40 to 44,Inflammatory bowel disease,Rate,2019,36.22244782,43.76726316,29.85825515
Incidence,Finland,Both,45 to 49,Inflammatory bowel disease,Number,2019,104.9325746,127.4562186,85.03635538
Incidence,Finland,Both,45 to 49,Inflammatory bowel disease,Rate,2019,33.36269481,40.52395495,27.03680896
Incidence,Finland,Both,50 to 54,Inflammatory bowel disease,Number,2019,112.1484909,136.0814192,90.54038169
Incidence,Finland,Both,50 to 54,Inflammatory bowel disease,Rate,2019,31.49995513,38.22216924,25.43072972
Incidence,Finland,Both,55 to 59,Inflammatory bowel disease,Number,2019,111.4676721,135.4951425,89.30509711
Incidence,Finland,Both,55 to 59,Inflammatory bowel disease,Rate,2019,30.19277173,36.70098992,24.18968981
Incidence,Finland,Both,60 to 64,Inflammatory bowel disease,Number,2019,103.4277989,128.7457114,81.17770693
Incidence,Finland,Both,60 to 64,Inflammatory bowel disease,Rate,2019,28.75138044,35.78938127,22.56618782
Incidence,Finland,Both,65 to 69,Inflammatory bowel disease,Number,2019,96.02931339,120.4143121,75.28860796
Incidence,Finland,Both,65 to 69,Inflammatory bowel disease,Rate,2019,26.92470408,33.76177135,21.10942397
Incidence,Finland,Both,70 to 74,Inflammatory bowel disease,Number,2019,86.67179064,110.9306971,66.57319356
Incidence,Finland,Both,70 to 74,Inflammatory bowel disease,Rate,2019,24.80054398,31.74206524,19.04946699
Incidence,Finland,Both,75 to 79,Inflammatory bowel disease,Number,2019,47.40751369,60.81602712,35.89154126
Incidence,Finland,Both,75 to 79,Inflammatory bowel disease,Rate,2019,22.34093503,28.65973777,16.91399799
Incidence,Finland,Both,All Ages,Inflammatory bowel disease,Number,2019,1499.703092,1651.740815,1345.498555
Incidence,Finland,Both,All Ages,Inflammatory bowel disease,Rate,2019,27.09933948,29.8466312,24.31289387
Incidence,Finland,Both,80 to 84,Inflammatory bowel disease,Number,2019,31.29642691,40.12276793,23.80014873
Incidence,Finland,Both,80 to 84,Inflammatory bowel disease,Rate,2019,19.44843154,24.93335446,14.79004503
Incidence,Finland,Both,85 to 89,Inflammatory bowel disease,Number,2019,15.85900852,20.5771254,12.14590007
Incidence,Finland,Both,85 to 89,Inflammatory bowel disease,Rate,2019,16.30787817,21.15953551,12.48967477
Incidence,Finland,Both,90 to 94,Inflammatory bowel disease,Number,2019,6.901810372,9.048977238,5.146907691
Incidence,Finland,Both,90 to 94,Inflammatory bowel disease,Rate,2019,14.40210722,18.88263128,10.74012649
Incidence,Finland,Both,95 plus,Inflammatory bowel disease,Number,2019,2.147159928,2.980532077,1.492911233
Incidence,Finland,Both,95 plus,Inflammatory bowel disease,Rate,2019,13.66401061,18.96739102,9.500528893
Incidence,Finland,Both,1 to 4,Alzheimer's disease and other dementias,Number,2019,0,0,0
Incidence,Finland,Both,1 to 4,Alzheimer's disease and other dementias,Rate,2019,0,0,0
Incidence,Finland,Both,5 to 9,Alzheimer's disease and other dementias,Number,2019,0,0,0
Incidence,Finland,Both,5 to 9,Alzheimer's disease and other dementias,Rate,2019,0,0,0
Incidence,Finland,Both,10 to 14,Alzheimer's disease and other dementias,Number,2019,0,0,0
Incidence,Finland,Both,10 to 14,Alzheimer's disease and other dementias,Rate,2019,0,0,0
Incidence,Finland,Both,15 to 19,Alzheimer's disease and other dementias,Number,2019,0,0,0
Incidence,Finland,Both,15 to 19,Alzheimer's disease and other dementias,Rate,2019,0,0,0
Incidence,Finland,Both,20 to 24,Alzheimer's disease and other dementias,Number,2019,0,0,0
Incidence,Finland,Both,20 to 24,Alzheimer's disease and other dementias,Rate,2019,0,0,0
