measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,England,Both,1-4 years,All causes,Number,2019,406.877781525299,437.130039916134,379.907045198427
Deaths,England,Both,1-4 years,All causes,Rate,2019,15.2062332042308,16.3368501042767,14.1982565466243
Deaths,England,Both,1-4 years,Appendicitis,Number,2019,0.40959429860554,0.521473007272473,0.29539544632786
Deaths,England,Both,1-4 years,Appendicitis,Rate,2019,0.0153077575294731,0.0194889977245016,0.0110398066650145
Deaths,England,Both,1-4 years,Asthma,Number,2019,2.91958389030908,3.44589030621568,2.48188693478471
Deaths,England,Both,1-4 years,Asthma,Rate,2019,0.109113536081829,0.12878317266694,0.0927554986546331
Deaths,England,Both,1-4 years,Atrial fibrillation and flutter,Number,2019,0,0,0
Deaths,England,Both,1-4 years,Atrial fibrillation and flutter,Rate,2019,0,0,0
Deaths,England,Both,1-4 years,Colon and rectum cancer,Number,2019,0,0,0
Deaths,England,Both,1-4 years,Colon and rectum cancer,Rate,2019,0,0,0
Deaths,England,Both,1-4 years,Diabetes mellitus type 1,Number,2019,0.783754114434271,1.09531436133344,0.622794069351575
Deaths,England,Both,1-4 years,Diabetes mellitus type 1,Rate,2019,0.0292912230158773,0.0409351563703996,0.0232756672563186
Deaths,England,Both,1-4 years,Diabetes mellitus type 2,Number,2019,0,0,0
Deaths,England,Both,1-4 years,Diabetes mellitus type 2,Rate,2019,0,0,0
Deaths,England,Both,1-4 years,Gout,Number,2019,0,0,0
Deaths,England,Both,1-4 years,Gout,Rate,2019,0,0,0
Deaths,England,Both,1-4 years,Idiopathic epilepsy,Number,2019,9.83006564379096,11.1953999105427,8.03040644399539
Deaths,England,Both,1-4 years,Idiopathic epilepsy,Rate,2019,0.367378798694832,0.418405402271277,0.300120180203448
Deaths,England,Both,1-4 years,Interstitial lung disease and pulmonary sarcoidosis,Number,2019,2.25852537324245,2.75284885154174,1.34386088086445
Deaths,England,Both,1-4 years,Interstitial lung disease and pulmonary sarcoidosis,Rate,2019,0.0844078125732256,0.102882151626999,0.0502240792600204
Deaths,England,Both,1-4 years,Ischemic heart disease,Number,2019,0,0,0
Deaths,England,Both,1-4 years,Ischemic heart disease,Rate,2019,0,0,0
Deaths,England,Both,1-4 years,Major depressive disorder,Number,2019,0,0,0
Deaths,England,Both,1-4 years,Major depressive disorder,Rate,2019,0,0,0
Deaths,England,Both,1-4 years,Malignant skin melanoma,Number,2019,1.52561054784382,4.6822515790292,0.213471288228221
Deaths,England,Both,1-4 years,Malignant skin melanoma,Rate,2019,0.057016605041396,0.174989671750285,0.00797805714295087
Deaths,England,Both,1-4 years,Osteoarthritis hip,Number,2019,0,0,0
Deaths,England,Both,1-4 years,Osteoarthritis hip,Rate,2019,0,0,0
Deaths,England,Both,1-4 years,Osteoarthritis knee,Number,2019,0,0,0
Deaths,England,Both,1-4 years,Osteoarthritis knee,Rate,2019,0,0,0
Deaths,England,Both,1-4 years,Rheumatoid arthritis,Number,2019,0,0,0
Deaths,England,Both,1-4 years,Rheumatoid arthritis,Rate,2019,0,0,0
Deaths,England,Both,1-4 years,Total cancers,Number,2019,70.0786838377845,77.553376341149,59.5811254088658
Deaths,England,Both,1-4 years,Total cancers,Rate,2019,2.61904890723716,2.89840040416575,2.22672391729359
Deaths,England,Both,1-4 years,"Tracheal, bronchus, and lung cancer",Number,2019,0,0,0
Deaths,England,Both,1-4 years,"Tracheal, bronchus, and lung cancer",Rate,2019,0,0,0
Deaths,England,Both,10-14 years,All causes,Number,2019,288.508379378405,292.3440390879,284.879611650773
Deaths,England,Both,10-14 years,All causes,Rate,2019,8.59262397666214,8.70686114945112,8.48454865264773
Deaths,England,Both,10-14 years,Appendicitis,Number,2019,1.03494838214777,1.17594926573233,0.6891961955326
Deaths,England,Both,10-14 years,Appendicitis,Rate,2019,0.0308237920236858,0.0350232110340784,0.0205262799198996
