measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Global,Both,95 plus,Interstitial lung disease and pulmonary sarcoidosis,Number,2019,18731.52307,25610.38235,13299.4604
Prevalence,Global,Both,95 plus,Interstitial lung disease and pulmonary sarcoidosis,Rate,2019,392.4304356,536.5443837,278.6272647
Prevalence,Global,Both,1 to 4,"Tracheal, bronchus, and lung cancer",Number,2019,0,0,0
Prevalence,Global,Both,1 to 4,"Tracheal, bronchus, and lung cancer",Rate,2019,0,0,0
Prevalence,Global,Both,5 to 9,"Tracheal, bronchus, and lung cancer",Number,2019,0,0,0
Prevalence,Global,Both,5 to 9,"Tracheal, bronchus, and lung cancer",Rate,2019,0,0,0
Prevalence,Global,Both,10 to 14,"Tracheal, bronchus, and lung cancer",Number,2019,516.9913183,583.0772078,456.7197353
Prevalence,Global,Both,10 to 14,"Tracheal, bronchus, and lung cancer",Rate,2019,0.080504831,0.09079559,0.071119463
Prevalence,Global,Both,15 to 19,"Tracheal, bronchus, and lung cancer",Number,2019,3348.3117,3711.857069,2997.509441
Prevalence,Global,Both,15 to 19,"Tracheal, bronchus, and lung cancer",Rate,2019,0.540450401,0.599130195,0.48382747
Prevalence,Global,Both,20 to 24,"Tracheal, bronchus, and lung cancer",Number,2019,5154.03258,5696.274333,4656.924193
Prevalence,Global,Both,20 to 24,"Tracheal, bronchus, and lung cancer",Rate,2019,0.858798653,0.949150524,0.775967199
Prevalence,Global,Both,25 to 29,"Tracheal, bronchus, and lung cancer",Number,2019,8477.108054,9363.559518,7643.5847
Prevalence,Global,Both,25 to 29,"Tracheal, bronchus, and lung cancer",Rate,2019,1.400086977,1.546494118,1.262421492
Prevalence,Global,Both,30 to 34,"Tracheal, bronchus, and lung cancer",Number,2019,16071.35978,17631.37752,14503.70541
Prevalence,Global,Both,30 to 34,"Tracheal, bronchus, and lung cancer",Rate,2019,2.670848097,2.930102476,2.410324609
Prevalence,Global,Both,35 to 39,"Tracheal, bronchus, and lung cancer",Number,2019,28571.12699,31394.87227,26021.58828
Prevalence,Global,Both,35 to 39,"Tracheal, bronchus, and lung cancer",Rate,2019,5.281402608,5.803374866,4.810117719
Prevalence,Global,Both,40 to 44,"Tracheal, bronchus, and lung cancer",Number,2019,52111.95118,57105.18456,47318.91653
Prevalence,Global,Both,40 to 44,"Tracheal, bronchus, and lung cancer",Rate,2019,10.56088286,11.57279954,9.589537968
Prevalence,Global,Both,45 to 49,"Tracheal, bronchus, and lung cancer",Number,2019,126746.9708,139618.9782,113912.3699
Prevalence,Global,Both,45 to 49,"Tracheal, bronchus, and lung cancer",Rate,2019,26.75109451,29.46784809,24.04223592
Prevalence,Global,Both,50 to 54,"Tracheal, bronchus, and lung cancer",Number,2019,255132.5991,281605.6708,229717.7534
Prevalence,Global,Both,50 to 54,"Tracheal, bronchus, and lung cancer",Rate,2019,58.40722817,64.46767966,52.58903522
Prevalence,Global,Both,55 to 59,"Tracheal, bronchus, and lung cancer",Number,2019,391622.8355,430636.2786,354431.826
Prevalence,Global,Both,55 to 59,"Tracheal, bronchus, and lung cancer",Rate,2019,105.555164,116.070563,95.53097045
Prevalence,Global,Both,60 to 64,"Tracheal, bronchus, and lung cancer",Number,2019,504224.3823,548117.8412,459126.9053
