measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Japan,Female,90-94 years,Thalassemias,Percent,2019,2.384519483815963e-09,5.291216118432799e-09,9.7275801665079e-10
Prevalence,Japan,Both,90-94 years,Thalassemias,Percent,2019,1.6807063350424255e-09,3.722739363869081e-09,6.873564604132962e-10
Prevalence,Japan,Male,90-94 years,Thalassemias,Rate,2019,1.2986666586700155e-06,3.741112090126791e-06,5.02227337704046e-07
Prevalence,Japan,Female,90-94 years,Thalassemias,Rate,2019,0.00023841506086494228,0.0005290158318594129,9.725967505464456e-05
Prevalence,Japan,Both,90-94 years,Thalassemias,Rate,2019,0.00016803735171024324,0.0003721879846681101,6.872149379207785e-05
Prevalence,Japan,Male,1-4 years,Sickle cell disorders,Number,2019,6.178395018050914,9.53847900889387,4.18639480405647
Prevalence,Japan,Female,1-4 years,Sickle cell disorders,Number,2019,1.2639522254953817,2.4452294712448372,0.5283550435875998
Prevalence,Japan,Both,1-4 years,Sickle cell disorders,Number,2019,7.442347243546296,11.146960478213296,4.968543138084233
Prevalence,Japan,Male,1-4 years,Sickle cell disorders,Percent,2019,4.096152976408826e-06,6.4680913943358976e-06,2.7295293696069686e-06
Prevalence,Japan,Female,1-4 years,Sickle cell disorders,Percent,2019,8.448898900138218e-07,1.608922825521171e-06,3.4022843299542327e-07
Prevalence,Japan,Both,1-4 years,Sickle cell disorders,Percent,2019,2.4770373518218128e-06,3.716548511381711e-06,1.6305117372815993e-06
Prevalence,Japan,Male,1-4 years,Sickle cell disorders,Rate,2019,0.3106700780281591,0.4796261827392593,0.21050573759578053
Prevalence,Japan,Female,1-4 years,Sickle cell disorders,Rate,2019,0.06679639951683729,0.12922365369276512,0.027922111189274734
Prevalence,Japan,Both,1-4 years,Sickle cell disorders,Rate,2019,0.1917647384653189,0.2872204011498462,0.12802296698190216
Prevalence,Japan,Male,5-9 years,Sickle cell disorders,Number,2019,5.158013805670914,8.044850123626363,3.5186184246841226
Prevalence,Japan,Female,5-9 years,Sickle cell disorders,Number,2019,1.1610847753694207,2.3060948149044687,0.4475178884837013
Prevalence,Japan,Both,5-9 years,Sickle cell disorders,Number,2019,6.319098581040335,9.536801876372808,4.171995141885545
Prevalence,Japan,Male,5-9 years,Sickle cell disorders,Percent,2019,2.408519096683351e-06,3.7652032141448e-06,1.6251414622023163e-06
Prevalence,Japan,Female,5-9 years,Sickle cell disorders,Percent,2019,5.495535846275542e-07,1.0929169481276354e-06,2.161435789772554e-07
Prevalence,Japan,Both,5-9 years,Sickle cell disorders,Percent,2019,1.4851590181678307e-06,2.2718539600148693e-06,9.772680188316485e-07
Prevalence,Japan,Male,5-9 years,Sickle cell disorders,Rate,2019,0.19025941811657154,0.29674377793897566,0.12978838740575488
Prevalence,Japan,Female,5-9 years,Sickle cell disorders,Rate,2019,0.04517557437453071,0.08972571170980166,0.017412059897776208
Prevalence,Japan,Both,5-9 years,Sickle cell disorders,Rate,2019,0.11965263381219302,0.18058010142092235,0.07899705956100084
Prevalence,Japan,Male,10-14 years,Sickle cell disorders,Number,2019,4.146560859261503,6.5472134696231725,2.7629198380962086
Prevalence,Japan,Female,10-14 years,Sickle cell disorders,Number,2019,1.0062115900128872,2.0248516416514297,0.37716345783833755
Prevalence,Japan,Both,10-14 years,Sickle cell disorders,Number,2019,5.152772449274391,7.840463008843664,3.320805227243159
Prevalence,Japan,Male,10-14 years,Sickle cell disorders,Percent,2019,1.8127310251890633e-06,2.900156101664953e-06,1.2147279865097369e-06
Prevalence,Japan,Female,10-14 years,Sickle cell disorders,Percent,2019,4.2281223815852765e-07,8.50906045255744e-07,1.5353583868754946e-07
Prevalence,Japan,Both,10-14 years,Sickle cell disorders,Percent,2019,1.1039179983596197e-06,1.6805968261290617e-06,7.062283531837628e-07
Prevalence,Japan,Male,10-14 years,Sickle cell disorders,Rate,2019,0.145924768541145,0.2304079555495501,0.09723200781472013
Prevalence,Japan,Female,10-14 years,Sickle cell disorders,Rate,2019,0.03736119720750473,0.07518387012289318,0.014004289423442284
Prevalence,Japan,Both,10-14 years,Sickle cell disorders,Rate,2019,0.09309815563916966,0.14165823402181646,0.059998931630832565
Prevalence,Japan,Male,15-19 years,Sickle cell disorders,Number,2019,3.85469698442449,6.029228647740473,2.573752360153826
Prevalence,Japan,Female,15-19 years,Sickle cell disorders,Number,2019,0.973161365928878,1.9456191744716196,0.3704663425714076
Prevalence,Japan,Both,15-19 years,Sickle cell disorders,Number,2019,4.8278583503533685,7.3098540383326895,3.089912269738145
Prevalence,Japan,Male,15-19 years,Sickle cell disorders,Percent,2019,1.4354697009569154e-06,2.2544105418463553e-06,9.54279258682811e-07
Prevalence,Japan,Female,15-19 years,Sickle cell disorders,Percent,2019,3.511407781781295e-07,6.962185719086561e-07,1.3234918069608665e-07
