measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,England,Female,1-4 years,Appendicitis,Number,2019,290.537948015173,494.553745215472,161.576894088416
Incidence,England,Female,1-4 years,Appendicitis,Rate,2019,22.280892912627,37.9265397582732,12.391074897214
Incidence,England,Female,1-4 years,Asthma,Number,2019,30139.1380498696,49420.9464830371,17480.2459489954
Incidence,England,Female,1-4 years,Asthma,Rate,2019,2311.32253791838,3790.01374433785,1340.53224625793
Incidence,England,Female,1-4 years,Atrial fibrillation and flutter,Number,2019,0,0,0
Incidence,England,Female,1-4 years,Atrial fibrillation and flutter,Rate,2019,0,0,0
Incidence,England,Female,1-4 years,Colon and rectum cancer,Number,2019,0,0,0
Incidence,England,Female,1-4 years,Colon and rectum cancer,Rate,2019,0,0,0
Incidence,England,Female,1-4 years,Diabetes mellitus type 1,Number,2019,277.4083122217,423.191821093686,115.661566304052
Incidence,England,Female,1-4 years,Diabetes mellitus type 1,Rate,2019,21.2740020362555,32.4539073525625,8.86990147253577
Incidence,England,Female,1-4 years,Diabetes mellitus type 2,Number,2019,0,0,0
Incidence,England,Female,1-4 years,Diabetes mellitus type 2,Rate,2019,0,0,0
Incidence,England,Female,1-4 years,Gout,Number,2019,0,0,0
Incidence,England,Female,1-4 years,Gout,Rate,2019,0,0,0
Incidence,England,Female,1-4 years,Idiopathic epilepsy,Number,2019,1147.47880168284,1908.578787665,606.899496932067
Incidence,England,Female,1-4 years,Idiopathic epilepsy,Rate,2019,87.9983233669348,146.36587018593,46.5421566864113
Incidence,England,Female,1-4 years,Interstitial lung disease and pulmonary sarcoidosis,Number,2019,49.0312248156911,81.9361670103294,27.2250868562897
Incidence,England,Female,1-4 years,Interstitial lung disease and pulmonary sarcoidosis,Rate,2019,3.76012660981657,6.28355426649098,2.08784858888823
Incidence,England,Female,1-4 years,Ischemic heart disease,Number,2019,0,0,0
Incidence,England,Female,1-4 years,Ischemic heart disease,Rate,2019,0,0,0
Incidence,England,Female,1-4 years,Major depressive disorder,Number,2019,46.4160817643834,108.760702863376,17.6860576573273
Incidence,England,Female,1-4 years,Major depressive disorder,Rate,2019,3.55957545057748,8.34068523632026,1.3563156186705
Incidence,England,Female,1-4 years,Malignant skin melanoma,Number,2019,26.7868718740729,65.341379874821,2.79619688765999
Incidence,England,Female,1-4 years,Malignant skin melanoma,Rate,2019,2.05424257921486,5.01092644764649,0.214435889845686
Incidence,England,Female,1-4 years,Osteoarthritis hip,Number,2019,0,0,0
Incidence,England,Female,1-4 years,Osteoarthritis hip,Rate,2019,0,0,0
Incidence,England,Female,1-4 years,Osteoarthritis knee,Number,2019,0,0,0
Incidence,England,Female,1-4 years,Osteoarthritis knee,Rate,2019,0,0,0
Incidence,England,Female,1-4 years,Rheumatoid arthritis,Number,2019,0,0,0
Incidence,England,Female,1-4 years,Rheumatoid arthritis,Rate,2019,0,0,0
Incidence,England,Female,1-4 years,Total cancers,Number,2019,236.599551599077,312.484826120173,171.235546258555
Incidence,England,Female,1-4 years,Total cancers,Rate,2019,18.1444431213485,23.9639640713676,13.1317815627404
Incidence,England,Female,1-4 years,"Tracheal, bronchus, and lung cancer",Number,2019,0,0,0
Incidence,England,Female,1-4 years,"Tracheal, bronchus, and lung cancer",Rate,2019,0,0,0
Incidence,England,Male,1-4 years,Appendicitis,Number,2019,394.509995874819,664.596774297422,218.261596373833
Incidence,England,Male,1-4 years,Appendicitis,Rate,2019,28.7595667735841,48.448747833452,15.9111531283331
Incidence,England,Male,1-4 years,Asthma,Number,2019,34599.3339213411,55257.183336323,20750.61494942
Incidence,England,Male,1-4 years,Asthma,Rate,2019,2522.27285654908,4028.21898177053,1512.70868284954
