measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,England,Female,1-4 years,All causes,Number,2019,189.301725228695,199.879711807471,179.106108330122
Deaths,England,Female,1-4 years,All causes,Rate,2019,14.5172480800196,15.3284570384466,13.7353624439187
Deaths,England,Female,1-4 years,Appendicitis,Number,2019,0.185175702494714,0.220886986845671,0.136461975354874
Deaths,England,Female,1-4 years,Appendicitis,Rate,2019,0.0142008299621147,0.0169394715331446,0.0104650517438386
Deaths,England,Female,1-4 years,Asthma,Number,2019,1.48825459943451,1.83785418148314,1.13492619372439
Deaths,England,Female,1-4 years,Asthma,Rate,2019,0.114131877034505,0.140942112678896,0.0870356838370317
Deaths,England,Female,1-4 years,Atrial fibrillation and flutter,Number,2019,0,0,0
Deaths,England,Female,1-4 years,Atrial fibrillation and flutter,Rate,2019,0,0,0
Deaths,England,Female,1-4 years,Colon and rectum cancer,Number,2019,0,0,0
Deaths,England,Female,1-4 years,Colon and rectum cancer,Rate,2019,0,0,0
Deaths,England,Female,1-4 years,Diabetes mellitus type 1,Number,2019,0.430529222397043,0.625607483915433,0.304485885121226
Deaths,England,Female,1-4 years,Diabetes mellitus type 1,Rate,2019,0.0330166009828229,0.0479768424389431,0.0233505380145323
Deaths,England,Female,1-4 years,Diabetes mellitus type 2,Number,2019,0,0,0
Deaths,England,Female,1-4 years,Diabetes mellitus type 2,Rate,2019,0,0,0
Deaths,England,Female,1-4 years,Gout,Number,2019,0,0,0
Deaths,England,Female,1-4 years,Gout,Rate,2019,0,0,0
Deaths,England,Female,1-4 years,Idiopathic epilepsy,Number,2019,4.89565310859361,6.34269496339984,3.85854625330675
Deaths,England,Female,1-4 years,Idiopathic epilepsy,Rate,2019,0.37543984665386,0.486411183882907,0.295905772225858
Deaths,England,Female,1-4 years,Interstitial lung disease and pulmonary sarcoidosis,Number,2019,1.27054978832317,1.57389072387363,0.694721980906718
Deaths,England,Female,1-4 years,Interstitial lung disease and pulmonary sarcoidosis,Rate,2019,0.097436441494765,0.120699175148625,0.0532771232342508
Deaths,England,Female,1-4 years,Ischemic heart disease,Number,2019,0,0,0
Deaths,England,Female,1-4 years,Ischemic heart disease,Rate,2019,0,0,0
Deaths,England,Female,1-4 years,Major depressive disorder,Number,2019,0,0,0
Deaths,England,Female,1-4 years,Major depressive disorder,Rate,2019,0,0,0
Deaths,England,Female,1-4 years,Malignant skin melanoma,Number,2019,0.955232192791097,2.31442031035248,0.103046136049079
Deaths,England,Female,1-4 years,Malignant skin melanoma,Rate,2019,0.0732552368448643,0.177489210762512,0.00790244420067851
Deaths,England,Female,1-4 years,Osteoarthritis hip,Number,2019,0,0,0
Deaths,England,Female,1-4 years,Osteoarthritis hip,Rate,2019,0,0,0
Deaths,England,Female,1-4 years,Osteoarthritis knee,Number,2019,0,0,0
Deaths,England,Female,1-4 years,Osteoarthritis knee,Rate,2019,0,0,0
Deaths,England,Female,1-4 years,Rheumatoid arthritis,Number,2019,0,0,0
Deaths,England,Female,1-4 years,Rheumatoid arthritis,Rate,2019,0,0,0
Deaths,England,Female,1-4 years,Total cancers,Number,2019,32.3377872056006,36.107833625929,26.9579865743838
Deaths,England,Female,1-4 years,Total cancers,Rate,2019,2.47993344305468,2.76905230391544,2.06736509329416
Deaths,England,Female,1-4 years,"Tracheal, bronchus, and lung cancer",Number,2019,0,0,0
Deaths,England,Female,1-4 years,"Tracheal, bronchus, and lung cancer",Rate,2019,0,0,0
Deaths,England,Male,1-4 years,All causes,Number,2019,217.576056296604,236.838855334892,200.114222672822
Deaths,England,Male,1-4 years,All causes,Rate,2019,15.8611776249664,17.26542532713,14.5882193340649
Deaths,England,Male,1-4 years,Appendicitis,Number,2019,0.224418596110826,0.332104231930776,0.131294550225083
Deaths,England,Male,1-4 years,Appendicitis,Rate,2019,0.0163599951016989,0.0242102201056362,0.00957130218166667
Deaths,England,Male,1-4 years,Asthma,Number,2019,1.43132929087457,1.7462802587405,1.19025220004284
Deaths,England,Male,1-4 years,Asthma,Rate,2019,0.10434313641309,0.127302892782912,0.0867687459949663
Deaths,England,Male,1-4 years,Atrial fibrillation and flutter,Number,2019,0,0,0
Deaths,England,Male,1-4 years,Atrial fibrillation and flutter,Rate,2019,0,0,0
Deaths,England,Male,1-4 years,Colon and rectum cancer,Number,2019,0,0,0
Deaths,England,Male,1-4 years,Colon and rectum cancer,Rate,2019,0,0,0
Deaths,England,Male,1-4 years,Diabetes mellitus type 1,Number,2019,0.353224892037228,0.546465837215519,0.270864669525852
Deaths,England,Male,1-4 years,Diabetes mellitus type 1,Rate,2019,0.0257499048816499,0.0398370659785997,0.0197458889034217
Deaths,England,Male,1-4 years,Diabetes mellitus type 2,Number,2019,0,0,0
